target_id	X0	mu_k	GI	k_obs	Xt	Reads_t	Log2fc
0	500	1.000	1.000	1.022	144633.445	724	0.618
0_1	500	1.000	1.000	0.967	106422.507	532	0.174
0_2	500	1.000	1.000	1.015	139472.600	698	0.565
0_3	500	1.000	1.000	1.016	139585.024	699	0.567
0_4	500	1.000	1.000	1.015	139331.053	697	0.563
0_5	500	1.000	1.000	0.961	103342.921	517	0.132
0_6	500	1.000	1.000	1.024	146624.270	734	0.638
0_7	500	1.000	1.000	1.066	184915.966	926	0.973
0_8	500	1.000	1.000	0.942	92841.811	464	-0.024
0_9	500	1.000	1.000	0.949	96325.842	482	0.031
0_10	500	1.000	1.000	1.010	135063.376	676	0.519
0_11	500	1.000	1.000	1.000	128348.572	642	0.445
0_12	500	1.000	1.000	0.978	113463.686	568	0.268
0_13	500	0.576	0.576	0.513	8614.972	43	-3.455
0_14	500	1.000	1.000	1.043	162832.949	815	0.789
0_15	500	1.000	1.000	0.991	121524.615	608	0.366
0_16	500	1.000	1.000	1.007	133235.688	667	0.500
0_17	500	1.000	1.000	0.988	119868.998	600	0.347
0_18	500	1.000	1.000	1.057	175414.852	878	0.896
0_19	500	1.000	1.000	1.063	181206.695	907	0.943
0_20	500	1.000	1.000	0.914	79644.708	398	-0.245
0_21	500	1.000	1.000	0.997	125591.635	628	0.413
0_22	500	1.000	1.000	0.951	97616.484	488	0.049
0_23	500	1.000	1.000	0.980	114580.276	573	0.281
0_24	500	1.000	1.000	1.141	279272.968	1398	1.567
0_25	500	1.000	1.000	1.058	176728.184	885	0.908
0_26	500	1.000	1.000	1.000	127707.262	639	0.438
0_27	500	1.000	1.000	0.932	87895.494	440	-0.100
0_28	500	1.000	1.000	0.990	121376.478	607	0.364
0_29	500	1.000	1.000	1.033	153299.782	767	0.701
0_30	500	1.000	1.000	1.065	183221.233	917	0.959
0_31	500	1.000	1.000	0.975	111203.661	556	0.237
0_32	500	1.000	1.000	1.060	178764.986	895	0.924
0_33	500	1.000	1.000	1.017	140501.743	703	0.576
0_34	500	1.000	1.000	1.096	217694.806	1090	1.208
0_35	500	1.000	1.000	1.041	160800.243	805	0.771
0_36	500	1.000	1.000	1.020	142673.811	714	0.598
0_37	500	1.000	1.000	1.016	139543.618	698	0.565
0_38	500	1.000	1.000	1.009	134627.332	674	0.515
0_39	500	1.000	1.000	0.990	121210.509	607	0.364
0_40	500	1.000	1.000	1.013	137315.741	687	0.542
0_41	500	1.000	1.000	1.007	132842.636	665	0.495
0_42	500	1.000	1.000	0.966	106164.883	531	0.171
0_43	500	1.000	1.000	0.931	87544.583	438	-0.107
0_44	500	1.000	1.000	1.021	143726.796	719	0.608
0_45	500	1.000	1.000	0.986	118677.464	594	0.333
0_46	500	1.000	1.000	1.064	182857.022	915	0.956
0_47	500	1.000	1.000	0.977	112948.703	565	0.260
0_48	500	1.000	1.000	0.989	120277.391	602	0.352
0_49	500	1.000	1.000	1.005	131714.078	659	0.482
0_50	500	1.000	1.000	0.987	119310.300	597	0.340
0_51	500	1.000	1.000	0.993	122804.076	614	0.380
0_52	500	1.000	1.000	1.067	185360.886	928	0.976
